date,total_sleep_minutes,total_nap_minutes,total_rest_minutes
2026-01-01,369.0,48.0,417.0
2026-01-02,364.0,0.0,364.0
2026-01-03,410.0,51.0,461.0
2026-01-04,471.0,33.0,504.0
2026-01-05,356.0,24.0,380.0
2026-01-06,341.0,0.0,341.0
2026-01-07,429.0,21.0,450.0
2026-01-08,421.0,54.0,475.0
2026-01-09,323.46666666666664,132.0,455.46666666666664
2026-01-10,379.0,159.0,538.0
2026-01-11,480.0,45.0,525.0
2026-01-12,371.0,27.0,398.0
2026-01-13,459.0,90.0,549.0
2026-01-14,404.0,198.0,602.0
2026-01-15,384.0,63.0,447.0
2026-01-16,428.0,0.0,428.0
2026-01-17,383.0,51.0,434.0
2026-01-18,227.0,114.0,341.0
2026-01-19,446.0,237.0,683.0
2026-01-20,270.0,192.0,462.0
2026-01-21,397.0,267.0,664.0
2026-01-22,335.0,60.0,395.0
