date,rest_hrs,low_stress_hrs,med_stress_hrs,high_stress_hrs,in_activity_hrs,had_activity,sleep_score,sleep_hrs,sleep_gt_7hrs
2026-01-01,1.05,3.1,2.8,5.8,0.0,0,,6.07,0.0
2026-01-02,0.1,4.95,3.45,4.5,0.0,0,,6.83,0.0
2026-01-03,0.15,3.15,3.75,5.7,0.0,0,,7.85,1.0
2026-01-04,0.0,4.3,2.4,7.25,0.0,0,,5.93,0.0
2026-01-05,1.7,6.25,5.3,2.85,0.0,0,,5.68,0.0
2026-01-06,0.0,3.75,5.15,4.0,0.0,0,,7.15,1.0
2026-01-07,0.2,3.65,3.95,6.85,0.0,0,,7.02,1.0
2026-01-08,0.1,6.2,5.2,3.6,0.0,0,,5.39,0.0
2026-01-09,0.35,4.2,3.3,3.35,0.0,0,,6.32,0.0
2026-01-10,1.7,6.75,3.6,2.2,0.0,0,,8.0,1.0
2026-01-11,0.15,1.9,2.8,7.4,0.0,0,,6.18,0.0
2026-01-12,0.05,0.65,0.4,1.35,0.0,0,,7.65,1.0
2026-01-13,0.0,1.9,3.7,8.0,0.0,0,,6.73,0.0
2026-01-14,0.15,3.8,2.05,4.95,0.0,0,,6.4,0.0
2026-01-15,0.05,4.2,5.55,4.35,0.0,0,,7.13,1.0
2026-01-16,1.2,6.7,4.3,3.15,0.0,0,,6.38,0.0
2026-01-17,0.15,1.4,0.65,10.55,0.0,0,,3.78,0.0
2026-01-18,0.25,4.35,4.15,7.25,0.0,0,,7.43,1.0
2026-01-19,0.15,2.2,2.4,7.0,0.0,0,,4.5,0.0
2026-01-20,1.9,4.0,3.05,4.55,0.0,0,,6.62,0.0
2026-01-21,0.0,1.95,1.8,7.2,0.0,0,,5.58,0.0
2026-01-22,1.1,5.85,5.45,3.95,0.0,0,,,
